date,hour,slug,yes_token,no_token,utc_time
2025-07-01,7pm,bitcoin-up-or-down-july-1-7pm-et,3255768935718023379195750036257420702870236474809225115083630392642081528757,97667753244434389339055536736546723017286068691000256972984324326684291538656,2025-07-01T23:00:00Z
2025-07-01,8pm,bitcoin-up-or-down-july-1-8pm-et,39703005792167357973595270768150695888992903036560446692126383366715076669043,72744968777706039940935846006101593224148988729968678978071663807744748323178,2025-07-02T00:00:00Z
2025-07-01,9pm,bitcoin-up-or-down-july-1-9pm-et,90888138753553492870614536229127139291261782115313962589344788053476927711671,96560736564852913724971456854274536262892458722057602183060443517446914846995,2025-07-02T01:00:00Z
2025-07-01,10pm,bitcoin-up-or-down-july-1-10pm-et,43047329988111155937507133971690126494403357515158953710439515596091930892600,111333218662581423848588811001456873938792925538134651615501658214245611289488,2025-07-02T02:00:00Z
2025-07-01,11pm,bitcoin-up-or-down-july-1-11pm-et,77361655556904840913796552114726884231580804633953570438686342149888484891332,79564189226032502727782574126127006900851405722471727506888498414088286053206,2025-07-02T03:00:00Z
2025-07-02,12am,bitcoin-up-or-down-july-2-12am-et,90899751906524520052697348257562665103278578298875163505829636916426108122353,92605380497635409439371039466984283615203764287706696662551672915317069223469,2025-07-02T04:00:00Z
2025-07-02,1am,bitcoin-up-or-down-july-2-1am-et,46642587543214406231590332672787236556732345770088271886748483332251580722671,20803628524725797217873130797357275142706532680763049339739652293925066825547,2025-07-02T05:00:00Z
2025-07-02,2am,bitcoin-up-or-down-july-2-2am-et,1029914774763392784503262076287220117327649984575791277651851929194456170271,24892920462404720708916282067801256068878627300315673778827049391629264705978,2025-07-02T06:00:00Z
2025-07-02,3am,bitcoin-up-or-down-july-2-3am-et,19884986068984642957064188153424840049688856419686748881307676181583069332135,2023926387878123775656506528483098621970982359609708742290595738520293081067,2025-07-02T07:00:00Z
2025-07-02,4am,bitcoin-up-or-down-july-2-4am-et,112524482121259827507793675873855643803679901298994827061978422109546221391994,84450518221274251288279858882654677002421327358215362895958078200347430633543,2025-07-02T08:00:00Z
2025-07-02,5am,bitcoin-up-or-down-july-2-5am-et,14154314141241301462982621160870470872279172834167664085780135933092580575839,74384114749577643724654699237502369618233267213743660018794547533843914748205,2025-07-02T09:00:00Z
2025-07-02,6am,bitcoin-up-or-down-july-2-6am-et,57988603867194222798378993542886084700379893788620481190780431671337876190510,22508855967499924041444621917022964005222884954314282486664825635418727027356,2025-07-02T10:00:00Z
2025-07-02,7am,bitcoin-up-or-down-july-2-7am-et,61145080252660446408023712297211377410240546418211098061809699859190689829538,115104450918028272834048212082870823925039218342391991267696115137877166496766,2025-07-02T11:00:00Z
2025-07-02,8am,bitcoin-up-or-down-july-2-8am-et,44589006635763472250264454019016676112460002568894198917154272706364985719246,84191427536961109974076349536297971969347009840691820288196961029253141463694,2025-07-02T12:00:00Z
2025-07-02,9am,bitcoin-up-or-down-july-2-9am-et,90513789582612954722663405822849786878480621796546469516142104047472656432730,1386032663092934256312965585022658446327680666052896280274465218631844376893,2025-07-02T13:00:00Z
2025-07-02,10am,bitcoin-up-or-down-july-2-10am-et,555207012492762017385246958565817933274653964392025959096840257986061191637,58641113564455191053779960573411012055101236865076386489101569618845151883049,2025-07-02T14:00:00Z
2025-07-02,11am,bitcoin-up-or-down-july-2-11am-et,29873972299757456220656637951809576703682679153107205784911032320078268247206,64576801157111553917321685338638301557066154017340643634484928139087322746766,2025-07-02T15:00:00Z
2025-07-02,12pm,bitcoin-up-or-down-july-2-12pm-et,75526238063455073802500526934222212569571935665288652720120943192086492981088,101572206841491082907666956893288996519131055772459818081083358296940764416500,2025-07-02T16:00:00Z
2025-07-02,1pm,bitcoin-up-or-down-july-2-1pm-et,4176617405044660357967077093256781473305263978421100994524946308388176318066,50292107487791369931008127606208679737638718631252371923697956200801152821008,2025-07-02T17:00:00Z
2025-07-02,2pm,bitcoin-up-or-down-july-2-2pm-et,11569943297331076639110960815343903745476974905891225808104038789928955916677,814971623289204353223168604953494379055773423279808988522538393509414007213,2025-07-02T18:00:00Z
2025-07-02,3pm,bitcoin-up-or-down-july-2-3pm-et,102524671014670267940246935524618738680232813816901804529863889029986922105207,80544815962251316973663046067348905656643429495537751684652977733302382559549,2025-07-02T19:00:00Z
2025-07-02,4pm,bitcoin-up-or-down-july-2-4pm-et,115663768134585888470011471847254612011225206528408664559344174524871019301547,45566064558302073255975629883717424917480476946391760997929979268803497172931,2025-07-02T20:00:00Z
2025-07-02,5pm,bitcoin-up-or-down-july-2-5pm-et,73943578354651755059365804454516828873354494041967713177123933135475873780001,28500991809638899585862647245256163008908198717615446616593025048627614016267,2025-07-02T21:00:00Z
2025-07-02,6pm,bitcoin-up-or-down-july-2-6pm-et,18285204342640750733796393595282269454288992031397946556991601877857837360554,111093998361663525260693979414461556114433922516418926652126827256909459118291,2025-07-02T22:00:00Z
2025-07-02,7pm,bitcoin-up-or-down-july-2-7pm-et,32572765510744995495974564910312846592974342356630798812148305623419831425539,20445467572838471695242268996363255859770385856522746631776803235012138021080,2025-07-02T23:00:00Z
2025-07-02,8pm,bitcoin-up-or-down-july-2-8pm-et,103577911799023660245112011232160259988845175765626958848509919783556519353754,39525649032811708251208080339642627522197736499855782936972701153212339474288,2025-07-03T00:00:00Z
2025-07-02,9pm,bitcoin-up-or-down-july-2-9pm-et,111278949281190196504384536333432435514748946743202123856120970094510769445090,18346640362194597261514271350775570086740548585816403747932139712984717274861,2025-07-03T01:00:00Z
2025-07-02,10pm,bitcoin-up-or-down-july-2-10pm-et,105679183996914283993045517690548229071331309337335092384855324673149190024120,100877448885033711977751968585684219744540375776634560888599752423105664161205,2025-07-03T02:00:00Z
2025-07-02,11pm,bitcoin-up-or-down-july-2-11pm-et,64014407071173554650750271910505804043936597106769212755931625753599668120313,106475745937639014510786283316013020398281681386075484718751158546497590415813,2025-07-03T03:00:00Z
2025-07-03,12am,bitcoin-up-or-down-july-3-12am-et,89676108818746094816599148034091325961531307224133198883455061208137413730379,49953997721376566716725633751486294416167161735262226730943927596374248841589,2025-07-03T04:00:00Z
2025-07-03,1am,bitcoin-up-or-down-july-3-1am-et,51648914876240495370968728578539848049215287717664062373502519170670648155114,46869628190418733774074108904611059467543407404966009968567254114327294418205,2025-07-03T05:00:00Z
2025-07-03,2am,bitcoin-up-or-down-july-3-2am-et,7564854653271700584376639637865644917021133233989941258652560852998643168707,53781716465213171037882573072297403699602229155041410715439724177966576928314,2025-07-03T06:00:00Z
2025-07-03,3am,bitcoin-up-or-down-july-3-3am-et,106597623685759843491013806259065379068971387578522988451708822513776054094786,62884828003238713217770881895287704177528671252965120166644606964037149618670,2025-07-03T07:00:00Z
2025-07-03,4am,bitcoin-up-or-down-july-3-4am-et,94980516901315089557913363311827347678993471072278461161550578827645357797192,98390608459163389730156773004073577561005284937611807005024646552601948878243,2025-07-03T08:00:00Z
2025-07-03,5am,bitcoin-up-or-down-july-3-5am-et,103659434894489122503859827835545098810187055029093653966604784811527550910058,23014254938702358948208219223538986358751326586650039531097192569526952891760,2025-07-03T09:00:00Z
2025-07-03,6am,bitcoin-up-or-down-july-3-6am-et,57070400621413986221405314760537760087205940202489036553602630731645704065221,12050087366182030306303035466376775403465314503630450478035781057775516087118,2025-07-03T10:00:00Z
2025-07-03,7am,bitcoin-up-or-down-july-3-7am-et,82294882336297470491042792108457754192386192035788304950054142640841190106649,23998919592339820180027789586094536271950779594756188156943218154881753868748,2025-07-03T11:00:00Z
2025-07-03,8am,bitcoin-up-or-down-july-3-8am-et,115611671122443541462554944277140070005176917780395888045508884322959227146498,108323694965583581798473925342869022116296635518670995951720805835503644174952,2025-07-03T12:00:00Z
2025-07-03,9am,bitcoin-up-or-down-july-3-9am-et,18154956643707009149609874432074631491655867461020040546123632835560590863330,63835215957866615791090009184998877429199654804901974159640561800237845716700,2025-07-03T13:00:00Z
2025-07-03,10am,bitcoin-up-or-down-july-3-10am-et,90269648217508066896446320755149353797856831740094502719649120804651232696287,71245429021009301823429794437191937757981457315818200023672580733768537070695,2025-07-03T14:00:00Z
2025-07-03,11am,bitcoin-up-or-down-july-3-11am-et,101362812715296711134062000130113990675373846602970236319356774557063121680929,99895536916159543355201871269567950268763418921020676096465061982326521833667,2025-07-03T15:00:00Z
2025-07-03,12pm,bitcoin-up-or-down-july-3-12pm-et,93048284482298601605009160186148220737098655403824599353566972857880064193951,84350405150626451370141565194130264456981204164721870523817602474123395813711,2025-07-03T16:00:00Z
2025-07-03,1pm,bitcoin-up-or-down-july-3-1pm-et,74001629393101996800469562140849965293396744805502791190288441944490800752894,6632835513765165690362150491374768973362768775441191684058631519189695203784,2025-07-03T17:00:00Z
2025-07-03,2pm,bitcoin-up-or-down-july-3-2pm-et,73946444598934199370148579356744125317240771892727573402560651248290303618694,60378636043938377671667808038946255341026243130610620725465352481714035361484,2025-07-03T18:00:00Z
2025-07-03,3pm,bitcoin-up-or-down-july-3-3pm-et,112177299573077244544694163051025144372195715315958943656478005084586944434155,9477896069631411474431568883365107511342818514025005065571734100541329283775,2025-07-03T19:00:00Z
2025-07-03,4pm,bitcoin-up-or-down-july-3-4pm-et,42562148925653889028840388210730300484243252893942132892718479322284096898865,42778058586879142433766299818222832658274138266422329017180115393517646745591,2025-07-03T20:00:00Z
2025-07-03,5pm,bitcoin-up-or-down-july-3-5pm-et,21713492869043083602067146374280275683178795636345305122231429747347833509321,39496063554367038549687330513660636454065214070444333365348252417379912960868,2025-07-03T21:00:00Z
2025-07-03,6pm,bitcoin-up-or-down-july-3-6pm-et,23528840535356856859652371574297523448232208555155002655176655869069157199613,71983733964121054269693931499200515918984122264943896541499643654057279558132,2025-07-03T22:00:00Z
2025-07-03,7pm,bitcoin-up-or-down-july-3-7pm-et,32533960179758157806110688779353943444876143152515962450996310035818222458936,7885801611586905762957591443663343748143163918476726344351429641182996546326,2025-07-03T23:00:00Z
2025-07-03,8pm,bitcoin-up-or-down-july-3-8pm-et,29463903978283736293626715704822827310374842907377408111504950655525624017190,45794390177262594200138981653548990775515895223621262648898795398762927329897,2025-07-04T00:00:00Z
2025-07-03,9pm,bitcoin-up-or-down-july-3-9pm-et,40109079995525971550362712344557202908313568953879792679069035691751860809322,87169098091672301585590135415711068280475169239381958527843034123586147107961,2025-07-04T01:00:00Z
2025-07-03,10pm,bitcoin-up-or-down-july-3-10pm-et,22671666003054864342705047019848475024896478281042073124672675795103927621769,61267250478391019104218450784528136993579438557000705849792652466084291507501,2025-07-04T02:00:00Z
2025-07-03,11pm,bitcoin-up-or-down-july-3-11pm-et,11171178941542560645008572130526157198280596211303989858635351487891345983813,75471118979279574228007312325341412297899126606005414013465992519465089243308,2025-07-04T03:00:00Z
2025-07-04,12am,bitcoin-up-or-down-july-4-12am-et,64580111211307769545102084541316812073526727108533438881530199528784232013623,65852641277864324124160736594407333379829989026431253006623828424058676563717,2025-07-04T04:00:00Z
2025-07-04,1am,bitcoin-up-or-down-july-4-1am-et,37534230793428504189814071505301597399995926177105084497311504289907074315120,30840040073238529767710657646501399309258474787004071137751594612905090640689,2025-07-04T05:00:00Z
2025-07-04,2am,bitcoin-up-or-down-july-4-2am-et,103806252998767987339535534196245942230417534798659353252185993288514523196437,74864787133933006556889148248436533940948968329498514466897967240549697977654,2025-07-04T06:00:00Z
2025-07-04,3am,bitcoin-up-or-down-july-4-3am-et,32183081839413117649651137556891314016892698829735761231330508563049155644813,43764111259772330375131199933137185373359734367654855713857583046892883009897,2025-07-04T07:00:00Z
2025-07-04,4am,bitcoin-up-or-down-july-4-4am-et,73232120127136228187044056538908762463279253319012095351614018448861218760032,102697457329177936277606767401739989919916882902036787500381472219469992995808,2025-07-04T08:00:00Z
2025-07-04,5am,bitcoin-up-or-down-july-4-5am-et,4789451660502586926648482993957758283942631213713190506878523871717584803062,844413497437970515466484650781373831318865843479596795422918301229239953016,2025-07-04T09:00:00Z
2025-07-04,6am,bitcoin-up-or-down-july-4-6am-et,66813823367845991139914249071722633062193090460559759380706624847857292392089,71373625341020034358104720499876453363582413465912701590954120466957905317037,2025-07-04T10:00:00Z
2025-07-04,7am,bitcoin-up-or-down-july-4-7am-et,6094351058524338161487263332889288724753232575627124051269653073353268787751,92464315033072211342102132967133661257915460466160172037699412401732456637857,2025-07-04T11:00:00Z
2025-07-04,8am,bitcoin-up-or-down-july-4-8am-et,60146643901036531630871442946434371292042375594541530488487288077950024512369,27036127720840308153447795963017774680907065766287353705496873250309585683676,2025-07-04T12:00:00Z
2025-07-04,9am,bitcoin-up-or-down-july-4-9am-et,87830175763150345907626996887682176788720695073481023447329279865779568113834,89235632566416279436592191363600888977810615638508468037821408339787847594826,2025-07-04T13:00:00Z
2025-07-04,10am,bitcoin-up-or-down-july-4-10am-et,57145868387109527616296973019817822599852929049310400664149975959706189315660,114868597167280241121852697659572407640478879287937667390223800638430129899820,2025-07-04T14:00:00Z
2025-07-04,11am,bitcoin-up-or-down-july-4-11am-et,59887357341030397663263716874463139522066018788993952203840142286235207967777,71274060718393301135240870134111584061369038890189663935255657802298289374954,2025-07-04T15:00:00Z
2025-07-04,12pm,bitcoin-up-or-down-july-4-12pm-et,73715003478504783620219959845132505969187099808672201257833328790044940807566,71824956816464151225842413283457151736722755109769157130140824918307320069625,2025-07-04T16:00:00Z
2025-07-04,1pm,bitcoin-up-or-down-july-4-1pm-et,111289266135235095472471259768486085688571411194190944748674191299233489166309,33586461308848676404394774691118206693657099964598542388183585403489570987708,2025-07-04T17:00:00Z
2025-07-04,2pm,bitcoin-up-or-down-july-4-2pm-et,92703967204626520995502969002150414561004007782488189940440931048210503636668,39703198224369204649744012192569217088486942077079255141147562481498847064879,2025-07-04T18:00:00Z
2025-07-04,3pm,bitcoin-up-or-down-july-4-3pm-et,73160373148906525918780744223626245637844802054064364342961883466029646098565,86313292137193849456247462906448108277123599222807811014956542271198507185793,2025-07-04T19:00:00Z
2025-07-04,4pm,bitcoin-up-or-down-july-4-4pm-et,80553866652778219157110899795017100855479773282918658798789089772592226142249,12892510795462313167155561237775590580925557680318742017577296220730293854177,2025-07-04T20:00:00Z
2025-07-04,5pm,bitcoin-up-or-down-july-4-5pm-et,44005146449198925513768512288305321660838389479955076265959689692922738695686,33269769589528429912365345251779823114699336421966914283172508243449483736905,2025-07-04T21:00:00Z
2025-07-04,6pm,bitcoin-up-or-down-july-4-6pm-et,54558290341768764143405934222747134108069271036480654170945777816521732145734,107176540895309033710381821826752025068171231412092201467991317948660157955273,2025-07-04T22:00:00Z
2025-07-04,7pm,bitcoin-up-or-down-july-4-7pm-et,90115335475102397756589940392605271309671627150118421671386858439553974366635,111689534828919208811966091152370019023924878359075298717735515043109894413968,2025-07-04T23:00:00Z
2025-07-04,8pm,bitcoin-up-or-down-july-4-8pm-et,56543952667375955886728644310568447695173907747853282463448911403664931540054,102858833157502315631298500129824419058769649855593681157317967109334003512840,2025-07-05T00:00:00Z
2025-07-04,9pm,bitcoin-up-or-down-july-4-9pm-et,45808748764545354639044670189134568287279424938715321608406539896231652959613,82922825091105530808535384572283242213144194812981153335866724938344890905087,2025-07-05T01:00:00Z
2025-07-04,10pm,bitcoin-up-or-down-july-4-10pm-et,16604448671603801879216148903427997066688149694243687891163834380062564326149,106227939008535881464477496056603314624882591633870927526896993251653569420071,2025-07-05T02:00:00Z
2025-07-04,11pm,bitcoin-up-or-down-july-4-11pm-et,50674389853621811875712494925375920125109246588263668316349141125547382215759,108143859554908174282687650553711613694629571041706343830524224132806784586933,2025-07-05T03:00:00Z
2025-07-05,12am,bitcoin-up-or-down-july-5-12am-et,,,2025-07-05T04:00:00Z
2025-07-05,1am,bitcoin-up-or-down-july-5-1am-et,9124204784349374644653387269998876073778199579763658079744632952369549607541,30126957754307974661811295501771192732248738894498638472086506649315158450607,2025-07-05T05:00:00Z
2025-07-05,2am,bitcoin-up-or-down-july-5-2am-et,10024319528465942306818638911832289358788381995706960607784971271596836622443,33813466948032468453254667080960167558275984947591249486348651744796636477329,2025-07-05T06:00:00Z
2025-07-05,3am,bitcoin-up-or-down-july-5-3am-et,96859773452409253577797631814027095036079688129938246931978069125526574274865,47624637904317873496916293463688188834951081330857978023756885237028828248750,2025-07-05T07:00:00Z
2025-07-05,4am,bitcoin-up-or-down-july-5-4am-et,20873692460298667781541948071681455502211287805473433172237003232638054819285,72690701973470960125499795762581196655573605419931745810754503861693180729884,2025-07-05T08:00:00Z
2025-07-05,5am,bitcoin-up-or-down-july-5-5am-et,13159386899669762554741128404864498038305285372424898678218735962438919721173,65604113280157412003355117846230334777864379821544375235013631543204529654882,2025-07-05T09:00:00Z
2025-07-05,6am,bitcoin-up-or-down-july-5-6am-et,28353970963924587851274715930863770861586230914010705446272401586302221130451,40734131206010419962469974822757691372961887829268563259907321862228013279614,2025-07-05T10:00:00Z
2025-07-05,7am,bitcoin-up-or-down-july-5-7am-et,93414844938980109524001076059389606717326801727911376116269102801786593385131,60974915299405529405449679222738606564128087010988526985641289485544271949406,2025-07-05T11:00:00Z
2025-07-05,8am,bitcoin-up-or-down-july-5-8am-et,32405949429139528496933436260778899815296730089830576632995537021826326580089,68800690235393361729596245834835401153633109864444388797323992949199077133276,2025-07-05T12:00:00Z
2025-07-05,9am,bitcoin-up-or-down-july-5-9am-et,99266050609859675132498005873671133655236896031932211605511009944309155077323,66911843104156877440841145970642170508381902135878593136060650977009626030018,2025-07-05T13:00:00Z
2025-07-05,10am,bitcoin-up-or-down-july-5-10am-et,55909588875940691153873321939517055197211350228820821277905216227393647975417,3643898295685440499787604311553496476149340835759031455736715223266240779424,2025-07-05T14:00:00Z
2025-07-05,11am,bitcoin-up-or-down-july-5-11am-et,43077888707663544042536597283460268344079080153711405979411731911177571687368,76416588408337396032227859214126240491335641135301408407806821601962872406218,2025-07-05T15:00:00Z
2025-07-05,12pm,bitcoin-up-or-down-july-5-12pm-et,108346619735932554241035276725505009775821684393426878571038129322824918624055,111760389321842421837162743623509218347516521379044633618781823574959895066210,2025-07-05T16:00:00Z
2025-07-05,1pm,bitcoin-up-or-down-july-5-1pm-et,49203555538105789901250436682342282912595530180501277942275281885581327321609,100598428864078213186963591758093416058162341689329391678855616175313351292555,2025-07-05T17:00:00Z
2025-07-05,2pm,bitcoin-up-or-down-july-5-2pm-et,47063432285194650493800517848424125814296132056545095832819361715160960826252,1603945539317267252430109552127352629592780829272291191567513824658011679110,2025-07-05T18:00:00Z
2025-07-05,3pm,bitcoin-up-or-down-july-5-3pm-et,15396697770876646210790759360243458458539547694818345444756871795439050408031,73117647301904520069281172318370234287998933844597427074789247137642455348434,2025-07-05T19:00:00Z
2025-07-05,4pm,bitcoin-up-or-down-july-5-4pm-et,36447084173227199503566116845021410622111141067697377030265592391102915759199,115532042528308916651051467938596470971273763651881425099352000682482553448521,2025-07-05T20:00:00Z
2025-07-05,5pm,bitcoin-up-or-down-july-5-5pm-et,106773693547532918806397887798116438675958421176998793730354730909081244472507,23825276448067198644652836142268615967351953733693215791929416160202027387934,2025-07-05T21:00:00Z
2025-07-05,6pm,bitcoin-up-or-down-july-5-6pm-et,95738564170194793027628844144507182253435063211116885477486404498812304173958,105284059283720658536773480459944325830277536425396650790663017656461187785527,2025-07-05T22:00:00Z
2025-07-05,7pm,bitcoin-up-or-down-july-5-7pm-et,23717442976970834731351212197538924077368770286676935122037216084445121336081,65729474090590196267322751136551180024955392457920298680022025865196197748582,2025-07-05T23:00:00Z
2025-07-05,8pm,bitcoin-up-or-down-july-5-8pm-et,12812158507575488584761602310458377636528604169998200581549676542033185673448,67620840277062748344449662462766902494232229723426601023500857824323744598164,2025-07-06T00:00:00Z
2025-07-05,9pm,bitcoin-up-or-down-july-5-9pm-et,77578384446767568945398541444438712563927414741299409903409255589649777155635,112837325518104474636675278941348180746500913735350876125932633823945958577350,2025-07-06T01:00:00Z
2025-07-05,10pm,bitcoin-up-or-down-july-5-10pm-et,64880724332697828647906372050313588847252700683258535884123693102331138528121,103959888324259026906618320079110092164286100590670064909106473765050147795459,2025-07-06T02:00:00Z
2025-07-05,11pm,bitcoin-up-or-down-july-5-11pm-et,28983665605063344847342875895191359238671193960733150727203477016958433899097,79159879665337747087313090048311481505435290966608481283245445689969910268526,2025-07-06T03:00:00Z
2025-07-06,12am,bitcoin-up-or-down-july-6-12am-et,9812954204019872929830038914769790545091661088169661700569809638816428909019,43305783223578818111867089273988130508501992359577960425243560547024902337533,2025-07-06T04:00:00Z
2025-07-06,1am,bitcoin-up-or-down-july-6-1am-et,115328707594045309783075239874955046234401417407726895090563454463257453405003,71683409057871624324887936035617699947201256734495054896341234117510279201900,2025-07-06T05:00:00Z
2025-07-06,2am,bitcoin-up-or-down-july-6-2am-et,35879581267470996720767069567092097842585386623253984903881439281207647501974,61387057313441352146350949570115042001056995158015469669775377112514602700127,2025-07-06T06:00:00Z
2025-07-06,3am,bitcoin-up-or-down-july-6-3am-et,53962809239731086833232954896754681860170555941771468608368258580765654126003,24328105745705211615971761682290945080112167508914448625819695507749318919134,2025-07-06T07:00:00Z
2025-07-06,4am,bitcoin-up-or-down-july-6-4am-et,105323552693452015228223445135792438678062421051269901117285845865293794592960,94465840855840334771569623254564057744283948215434300380849796579190808433786,2025-07-06T08:00:00Z
2025-07-06,5am,bitcoin-up-or-down-july-6-5am-et,55788360829967200935810530264518874842919777158457261672532889010234282172069,70902649596088055372704489821199056554134965531062601279847346377395462016041,2025-07-06T09:00:00Z
2025-07-06,6am,bitcoin-up-or-down-july-6-6am-et,38978426744703582401318673501917915627738517526756811549319457666757871670929,63266375934532601724408957749709608632080431182764791046190858726759771497585,2025-07-06T10:00:00Z
2025-07-06,7am,bitcoin-up-or-down-july-6-7am-et,84854791684648893329268248205669631996679290187852350476344138211669656275760,3381884474173294201495111614944561635608799376836812893186982509845491083165,2025-07-06T11:00:00Z
2025-07-06,8am,bitcoin-up-or-down-july-6-8am-et,51588190855462867409609734744409087035095725644907163282445365482492831865556,57219615176304526049069033343696688302518991329621588448301946658310404364459,2025-07-06T12:00:00Z
2025-07-06,9am,bitcoin-up-or-down-july-6-9am-et,31775250434614297501624022599307219806928536269305548344491698704684195999680,109564594981548051772116956590338934800386962123957773037441300205982999758828,2025-07-06T13:00:00Z
2025-07-06,10am,bitcoin-up-or-down-july-6-10am-et,80132136788380027436740284371426981985132619730417739935408861498333831565228,89564155242219432342430455556219947957992672041850013318793417476618672448634,2025-07-06T14:00:00Z
2025-07-06,11am,bitcoin-up-or-down-july-6-11am-et,51290603375450279738142808258307892636704473269320441008014973184769760882631,18513962686597950823698715386391210506393807171680358769227987974853849998296,2025-07-06T15:00:00Z
2025-07-06,12pm,bitcoin-up-or-down-july-6-12pm-et,70448310378196566013662536611884477037408322858238522785369364150829789440029,5612185298193924646542652302203588099470875186019767384533480373199577218225,2025-07-06T16:00:00Z
2025-07-06,1pm,bitcoin-up-or-down-july-6-1pm-et,65262567400335040319934008015116740666298582976703431031292483193553854077585,76539951247243528737787977549050193723778279655371218402319623805419932579557,2025-07-06T17:00:00Z
2025-07-06,2pm,bitcoin-up-or-down-july-6-2pm-et,6674723546727405606760432522242103641479877941935149454281647275507032451462,16960748671830290491516354907617428874785666689976814535568467854753555487202,2025-07-06T18:00:00Z
2025-07-06,3pm,bitcoin-up-or-down-july-6-3pm-et,38732253641581537563159514426829783157550702133141817923254664766765257989015,106513869525763725618465872416827920433957885477252485042672233948790967096608,2025-07-06T19:00:00Z
2025-07-06,4pm,bitcoin-up-or-down-july-6-4pm-et,39965608916400425010932466209996138549361792476119892081414091216036860498965,7546362937261313732303634099143553850081902955830407203390060605387920382185,2025-07-06T20:00:00Z
2025-07-06,5pm,bitcoin-up-or-down-july-6-5pm-et,918097985350070268778047324224320510216368951537666830433406381486138923265,40591474097389004852911494052240031626434749775375803642941789237396870097026,2025-07-06T21:00:00Z
